player,percentage_service,games_won_service,games_total_service,matches,year,surface
Lleyton Hewitt,81.92%,145,177,17,2007,Clay
Ivan Ljubicic,80.89%,127,157,11,2007,Clay
Paul-Henri Mathieu,80.87%,186,230,22,2007,Clay
Nicolas Almagro,80.76%,319,395,38,2007,Clay
Juan Monaco,80.71%,343,425,36,2007,Clay
Carlos Moya,80.55%,323,401,35,2007,Clay
David Nalbandian,80.42%,115,143,11,2007,Clay
Robin Soderling,80.41%,156,194,17,2007,Clay
Gael Monfils,80.33%,196,244,20,2007,Clay
Tomas Berdych,80.00%,172,215,24,2007,Clay
Ivan Navarro,80.00%,120,150,14,2007,Clay
Luis Horna,79.84%,198,248,25,2007,Clay
Igor Andreev,79.81%,332,416,41,2007,Clay
Feliciano Lopez,79.26%,107,135,11,2007,Clay
Guillermo Canas,79.02%,226,286,27,2007,Clay
Mikhail Youzhny,79.00%,173,219,23,2007,Clay
Potito Starace,78.99%,327,414,35,2007,Clay
James Blake,78.08%,114,146,13,2007,Clay
Marat Safin,78.07%,89,114,12,2007,Clay
Juan Carlos Ferrero,77.75%,269,346,31,2007,Clay
Albert Montanes,77.37%,318,411,37,2007,Clay
Agustin Calleri,77.24%,241,312,27,2007,Clay
Fernando Gonzalez,76.44%,146,191,19,2007,Clay
Novak Djokovic,76.22%,218,286,23,2007,Clay
Fernando Verdasco,76.15%,166,218,17,2007,Clay
Juan Ignacio Chela,75.84%,295,389,34,2007,Clay
Marc Gicquel,75.84%,135,178,16,2007,Clay
Philipp Kohlschreiber,75.77%,197,260,26,2007,Clay
Carlos Berlocq,75.60%,158,209,19,2007,Clay
Werner Eschauer,75.48%,117,155,13,2007,Clay
Marcos Baghdatis,75.32%,119,158,17,2007,Clay
Olivier Patience,75.32%,119,158,12,2007,Clay
Florent Serra,74.68%,118,158,13,2007,Clay
Jose Acasuso,74.55%,208,279,28,2007,Clay
David Ferrer,74.50%,222,298,29,2007,Clay
Benjamin Becker,74.36%,87,117,11,2007,Clay
Nikolay Davydenko,74.14%,238,321,26,2007,Clay
Tommy Robredo,74.02%,245,331,27,2007,Clay
Andrei Pavel,74.02%,94,127,11,2007,Clay
Richard Gasquet,73.89%,150,203,19,2007,Clay
Mariano Zabaleta,73.46%,155,211,18,2007,Clay
Nicolas Massu,73.27%,244,333,30,2007,Clay
Andreas Seppi,73.06%,160,219,17,2007,Clay
Oscar Hernandez,72.92%,175,240,20,2007,Clay
